Post_ID,DateTime,Platform,Region,Topic,User_Age,User_Gender,Text,Likes,Shares,Comments,Engagement,Rating,Sentiment,
98,04-03-2026,Twitter,Canada,Sports,25,Male,"Waste of money, not recommended",477,24,198,699,1,Negative,
99,31-08-2025,Facebook,UK,Politics,23,Male,Very satisfied with the overall performance,549,198,35,782,5,Positive,
100,03-03-2026,Instagram,Canada,Health,25,Female,"Absolutely loved the experience, highly recommended",149,222,52,423,5,Positive,
101,13-07-2025,Instagram,Canada,Politics,41,Male,Poor performance and bad customer support,647,77,130,854,2,Negative,
102,12-12-2025,Instagram,USA,Entertainment,42,Male,"Waste of money, not recommended",859,111,113,1083,2,Negative,
103,01-01-2026,Facebook,Canada,Technology,57,Male,"Average experience, could be improved",736,239,46,1021,3,Neutral,
104,02-06-2025,Instagram,Canada,Entertainment,28,Female,Poor performance and bad customer support,95,108,33,236,1,Negative,
105,08-11-2025,Instagram,India,Product,51,Male,Very disappointed with the product quality,297,56,85,438,2,Negative,
106,01-12-2025,Facebook,Australia,Politics,32,Female,Very disappointed with the product quality,754,197,191,1142,2,Negative,
107,07-11-2025,Facebook,UK,Technology,58,Female,It works fine but has some minor issues,652,127,136,915,3,Neutral,
108,25-06-2025,Twitter,Australia,Entertainment,24,Male,Very satisfied with the overall performance,657,207,30,894,4,Positive,
109,10-05-2025,Instagram,Australia,Education,23,Female,The product did not meet my expectations,952,40,62,1054,2,Negative,
110,02-10-2025,Twitter,Canada,Technology,51,Female,I recently bought this and it exceeded my expectations,857,123,20,1000,4,Positive,
111,09-09-2025,Instagram,USA,Product,20,Female,The product did not meet my expectations,503,182,96,781,1,Negative,
112,25-03-2026,Facebook,Canada,Health,51,Female,It works fine but has some minor issues,164,185,161,510,3,Neutral,
113,31-12-2025,Instagram,UK,Entertainment,40,Male,"Absolutely loved the experience, highly recommended",505,148,101,754,5,Positive,
114,09-05-2025,Twitter,USA,Product,54,Male,"Waste of money, not recommended",683,15,36,734,2,Negative,
115,01-11-2025,Instagram,Australia,Education,56,Female,"Average experience, could be improved",379,58,125,562,3,Neutral,
116,21-07-2025,Twitter,Australia,Technology,18,Female,"Average experience, could be improved",706,99,159,964,3,Neutral,
117,31-01-2026,Instagram,Canada,Politics,26,Male,It works fine but has some minor issues,904,125,8,1037,3,Neutral,
118,19-01-2026,Facebook,USA,Health,49,Male,This is one of the best services I have ever used,592,289,167,1048,5,Positive,
119,15-12-2025,Twitter,UK,Health,25,Male,Poor performance and bad customer support,549,204,126,879,2,Negative,
120,16-09-2025,Facebook,Canada,Health,28,Female,I recently bought this and it exceeded my expectations,882,220,52,1154,4,Positive,
121,09-09-2025,Facebook,USA,Entertainment,30,Male,Poor performance and bad customer support,251,107,135,493,1,Negative,
122,01-05-2025,Facebook,Australia,Health,48,Male,"Average experience, could be improved",330,151,164,645,3,Neutral,
123,22-03-2026,Twitter,Australia,Entertainment,23,Male,Poor performance and bad customer support,954,26,124,1104,1,Negative,
124,05-01-2026,Instagram,UK,Politics,55,Female,"Not too good, not too bad",513,137,98,748,3,Neutral,
125,14-10-2025,Twitter,Australia,Entertainment,24,Male,Amazing quality and fast delivery,477,231,59,767,5,Positive,
126,02-06-2025,Facebook,Australia,Health,33,Male,I recently bought this and it exceeded my expectations,773,15,121,909,4,Positive,
127,17-06-2025,Facebook,Australia,Education,42,Female,"Not too good, not too bad",666,256,55,977,3,Neutral,
128,27-08-2025,Facebook,UK,Entertainment,28,Male,This is one of the best services I have ever used,693,230,77,1000,5,Positive,
129,04-06-2025,Twitter,UK,Sports,18,Female,The product did not meet my expectations,300,186,153,639,1,Negative,
130,27-08-2025,Twitter,Australia,Education,44,Female,Very satisfied with the overall performance,483,113,154,750,5,Positive,
131,15-01-2026,Instagram,Australia,Politics,21,Female,"Absolutely loved the experience, highly recommended",735,44,192,971,4,Positive,
132,03-01-2026,Facebook,Australia,Technology,58,Female,It works fine but has some minor issues,703,96,180,979,3,Neutral,
133,12-01-2026,Twitter,USA,Health,51,Male,Very disappointed with the product quality,485,292,60,837,1,Negative,
134,07-06-2025,Twitter,India,Sports,57,Male,"The product is okay, nothing special about it",824,72,107,1003,3,Neutral,
135,19-08-2025,Facebook,Australia,Sports,43,Male,Very satisfied with the overall performance,621,99,88,808,4,Positive,
136,15-09-2025,Facebook,UK,Product,35,Male,I recently bought this and it exceeded my expectations,510,269,71,850,5,Positive,
137,30-03-2025,Facebook,USA,Education,27,Male,This is one of the best services I have ever used,949,19,112,1080,5,Positive,
138,25-06-2025,Facebook,Australia,Politics,30,Male,This is one of the best services I have ever used,710,41,90,841,4,Positive,
139,31-12-2025,Twitter,UK,Technology,41,Female,Had a terrible experience using this service,165,220,119,504,2,Negative,
140,25-08-2025,Instagram,India,Education,57,Female,I recently bought this and it exceeded my expectations,653,152,47,852,5,Positive,
141,12-05-2025,Facebook,UK,Entertainment,23,Female,"The product is okay, nothing special about it",256,77,25,358,3,Neutral,
142,25-09-2025,Facebook,Australia,Sports,35,Female,"Waste of money, not recommended",330,292,129,751,2,Negative,
143,02-10-2025,Facebook,India,Health,55,Male,"Absolutely loved the experience, highly recommended",509,43,112,664,5,Positive,
144,28-03-2026,Facebook,USA,Education,34,Male,"Average experience, could be improved",258,275,28,561,3,Neutral,
145,25-12-2025,Instagram,UK,Product,27,Female,"Waste of money, not recommended",358,55,153,566,2,Negative,
146,24-10-2025,Twitter,India,Education,53,Female,Had a terrible experience using this service,676,247,174,1097,2,Negative,
147,26-05-2025,Facebook,India,Entertainment,30,Female,This is one of the best services I have ever used,708,201,63,972,5,Positive,
148,04-02-2026,Facebook,USA,Entertainment,49,Female,Poor performance and bad customer support,590,106,83,779,2,Negative,
149,26-04-2025,Instagram,UK,Education,26,Female,Poor performance and bad customer support,546,81,131,758,1,Negative,
150,31-01-2026,Instagram,Canada,Technology,28,Female,"The product is okay, nothing special about it",670,78,133,881,3,Neutral,
151,08-03-2026,Twitter,Australia,Politics,29,Male,Poor performance and bad customer support,564,49,157,770,2,Negative,
152,03-03-2026,Facebook,Australia,Education,49,Female,"Absolutely loved the experience, highly recommended",703,207,33,943,5,Positive,
153,24-06-2025,Facebook,UK,Entertainment,41,Male,It is acceptable for the price,359,91,91,541,3,Neutral,
154,25-08-2025,Twitter,Australia,Product,18,Male,The product did not meet my expectations,119,277,56,452,2,Negative,
155,13-04-2025,Twitter,USA,Health,31,Male,I recently bought this and it exceeded my expectations,301,122,127,550,5,Positive,
156,21-01-2026,Twitter,Australia,Entertainment,60,Female,"Average experience, could be improved",369,255,44,668,3,Neutral,
157,01-03-2026,Twitter,Canada,Technology,50,Female,The product did not meet my expectations,552,31,185,768,2,Negative,
158,01-01-2026,Facebook,India,Health,41,Male,It works fine but has some minor issues,152,120,76,348,3,Neutral,
159,08-05-2025,Twitter,USA,Sports,50,Male,"Not too good, not too bad",235,191,55,481,3,Neutral,
160,19-07-2025,Instagram,UK,Entertainment,26,Female,"Average experience, could be improved",893,79,115,1087,3,Neutral,
161,04-11-2025,Facebook,Australia,Sports,19,Female,Amazing quality and fast delivery,877,177,9,1063,5,Positive,
162,28-03-2026,Facebook,UK,Sports,49,Male,"Not too good, not too bad",377,164,87,628,3,Neutral,
163,01-06-2025,Twitter,India,Politics,52,Female,"Waste of money, not recommended",970,285,71,1326,1,Negative,
164,07-10-2025,Twitter,Australia,Politics,27,Female,"Not too good, not too bad",128,249,136,513,3,Neutral,
165,14-04-2025,Facebook,USA,Entertainment,44,Female,"The product is okay, nothing special about it",898,12,36,946,3,Neutral,
166,06-10-2025,Facebook,India,Sports,50,Female,Very disappointed with the product quality,223,67,42,332,1,Negative,
167,10-06-2025,Facebook,India,Sports,28,Female,Very satisfied with the overall performance,79,239,68,386,5,Positive,
168,23-02-2026,Twitter,Australia,Entertainment,46,Male,I recently bought this and it exceeded my expectations,235,136,162,533,4,Positive,
169,09-09-2025,Twitter,Canada,Sports,37,Male,"The product is okay, nothing special about it",88,153,172,413,3,Neutral,
170,11-11-2025,Twitter,Canada,Health,23,Female,Had a terrible experience using this service,416,66,185,667,2,Negative,
171,25-09-2025,Facebook,Canada,Education,36,Female,Had a terrible experience using this service,342,91,64,497,2,Negative,
172,05-06-2025,Twitter,India,Product,22,Female,This is one of the best services I have ever used,982,103,197,1282,5,Positive,
173,10-05-2025,Twitter,Canada,Entertainment,38,Female,"Not too good, not too bad",481,109,137,727,3,Neutral,
174,12-04-2025,Facebook,India,Technology,52,Male,Had a terrible experience using this service,184,25,182,391,2,Negative,
175,12-09-2025,Instagram,USA,Sports,45,Male,"Waste of money, not recommended",832,25,54,911,2,Negative,
176,18-08-2025,Instagram,USA,Entertainment,44,Male,"Average experience, could be improved",972,149,12,1133,3,Neutral,
177,03-03-2026,Facebook,Canada,Entertainment,43,Male,Very satisfied with the overall performance,692,26,13,731,5,Positive,
178,24-10-2025,Instagram,Canada,Education,36,Female,I recently bought this and it exceeded my expectations,389,33,196,618,4,Positive,
179,27-03-2026,Instagram,India,Politics,41,Male,"Absolutely loved the experience, highly recommended",838,30,28,896,4,Positive,
180,05-12-2025,Facebook,Australia,Sports,29,Female,"The product is okay, nothing special about it",244,268,162,674,3,Neutral,
181,25-06-2025,Facebook,India,Education,38,Female,"Waste of money, not recommended",429,116,116,661,2,Negative,
182,17-02-2026,Facebook,UK,Health,52,Female,"The product is okay, nothing special about it",296,60,199,555,3,Neutral,
183,22-04-2025,Twitter,Canada,Education,52,Female,"Not too good, not too bad",822,152,187,1161,3,Neutral,
184,15-05-2025,Instagram,India,Politics,34,Female,It works fine but has some minor issues,548,137,7,692,3,Neutral,
185,18-04-2025,Twitter,UK,Health,31,Male,Very satisfied with the overall performance,171,233,199,603,5,Positive,
186,12-07-2025,Twitter,USA,Sports,56,Female,"Not too good, not too bad",488,151,176,815,3,Neutral,
187,14-11-2025,Facebook,UK,Sports,55,Female,"Absolutely loved the experience, highly recommended",931,286,124,1341,4,Positive,
188,02-03-2026,Twitter,UK,Health,47,Female,"Absolutely loved the experience, highly recommended",993,24,29,1046,5,Positive,
189,01-08-2025,Facebook,UK,Product,20,Male,"Not too good, not too bad",73,41,54,168,3,Neutral,
190,15-07-2025,Twitter,India,Politics,50,Male,Had a terrible experience using this service,706,259,72,1037,2,Negative,
191,04-02-2026,Instagram,UK,Technology,25,Female,"The product is okay, nothing special about it",463,55,37,555,3,Neutral,
192,20-03-2026,Twitter,USA,Technology,45,Male,Very disappointed with the product quality,893,136,70,1099,2,Negative,
193,04-10-2025,Facebook,Australia,Politics,30,Female,The product did not meet my expectations,863,15,89,967,1,Negative,
194,07-04-2025,Facebook,UK,Technology,45,Male,Very satisfied with the overall performance,352,254,194,800,4,Positive,
195,09-08-2025,Instagram,USA,Health,36,Female,I recently bought this and it exceeded my expectations,444,196,108,748,5,Positive,
196,23-09-2025,Instagram,UK,Entertainment,31,Female,"The product is okay, nothing special about it",847,63,136,1046,3,Neutral,
197,23-05-2025,Instagram,USA,Health,35,Female,The product did not meet my expectations,743,240,106,1089,2,Negative,
198,17-11-2025,Twitter,UK,Politics,56,Male,Very disappointed with the product quality,534,61,64,659,1,Negative,
199,25-09-2025,Facebook,India,Politics,44,Male,This is one of the best services I have ever used,61,18,169,248,5,Positive,
200,20-07-2025,Twitter,Australia,Health,52,Female,It is acceptable for the price,174,194,123,491,3,Neutral,
201,19-11-2025,Instagram,UK,Product,26,Male,Very disappointed with the product quality,963,119,194,1276,1,Negative,
202,30-09-2025,Facebook,USA,Entertainment,58,Male,"Waste of money, not recommended",982,198,8,1188,2,Negative,
203,28-12-2025,Facebook,Australia,Sports,33,Male,Poor performance and bad customer support,687,125,119,931,2,Negative,
204,10-04-2025,Twitter,UK,Education,52,Male,"Waste of money, not recommended",708,144,45,897,1,Negative,
205,16-01-2026,Twitter,USA,Sports,26,Male,"Average experience, could be improved",298,154,196,648,3,Neutral,
206,24-01-2026,Instagram,India,Product,43,Female,"The product is okay, nothing special about it",492,147,149,788,3,Neutral,
207,02-09-2025,Facebook,UK,Technology,31,Female,The product did not meet my expectations,232,184,7,423,1,Negative,
208,14-06-2025,Facebook,USA,Education,39,Male,"Not too good, not too bad",924,191,124,1239,3,Neutral,
209,24-03-2026,Facebook,Canada,Sports,26,Female,I recently bought this and it exceeded my expectations,206,31,84,321,4,Positive,
210,14-02-2026,Twitter,UK,Technology,30,Female,"The product is okay, nothing special about it",962,91,17,1070,3,Neutral,
211,30-11-2025,Instagram,Australia,Politics,40,Female,It works fine but has some minor issues,230,54,36,320,3,Neutral,
212,12-08-2025,Instagram,Australia,Sports,35,Female,It is acceptable for the price,103,147,58,308,3,Neutral,
213,01-10-2025,Facebook,Canada,Technology,55,Male,The product did not meet my expectations,419,290,61,770,1,Negative,
214,23-08-2025,Facebook,Canada,Entertainment,37,Male,It works fine but has some minor issues,371,210,185,766,3,Neutral,
215,14-04-2025,Instagram,India,Sports,46,Female,"Absolutely loved the experience, highly recommended",923,13,170,1106,5,Positive,
216,12-10-2025,Twitter,UK,Product,54,Male,The product did not meet my expectations,258,163,183,604,1,Negative,
217,02-10-2025,Twitter,Australia,Product,45,Female,"Average experience, could be improved",809,114,104,1027,3,Neutral,
218,10-04-2025,Twitter,UK,Product,37,Male,Amazing quality and fast delivery,870,64,116,1050,4,Positive,
219,09-11-2025,Instagram,USA,Sports,18,Male,Had a terrible experience using this service,383,167,125,675,2,Negative,
220,14-12-2025,Facebook,UK,Product,45,Female,"Absolutely loved the experience, highly recommended",407,98,185,690,5,Positive,
221,12-06-2025,Instagram,Australia,Education,35,Female,Amazing quality and fast delivery,112,268,194,574,5,Positive,
222,12-08-2025,Instagram,India,Sports,60,Male,"Absolutely loved the experience, highly recommended",452,240,115,807,4,Positive,
223,22-02-2026,Instagram,Canada,Education,45,Male,Poor performance and bad customer support,573,32,71,676,2,Negative,
224,31-03-2025,Instagram,Australia,Product,55,Male,It works fine but has some minor issues,306,64,192,562,3,Neutral,
225,18-12-2025,Twitter,UK,Education,20,Male,Very disappointed with the product quality,114,147,64,325,1,Negative,
226,12-06-2025,Instagram,USA,Education,28,Male,The product did not meet my expectations,798,224,70,1092,1,Negative,
227,04-03-2026,Instagram,USA,Education,36,Male,"Not too good, not too bad",819,81,172,1072,3,Neutral,
228,16-06-2025,Instagram,Australia,Entertainment,27,Male,"Not too good, not too bad",443,15,144,602,3,Neutral,
229,07-01-2026,Instagram,India,Sports,33,Female,It works fine but has some minor issues,642,214,143,999,3,Neutral,
230,28-03-2025,Twitter,USA,Sports,25,Female,It works fine but has some minor issues,227,208,13,448,3,Neutral,
231,20-10-2025,Facebook,India,Politics,30,Male,"Not too good, not too bad",888,48,50,986,3,Neutral,
232,04-11-2025,Instagram,USA,Entertainment,59,Male,It is acceptable for the price,297,162,42,501,3,Neutral,
233,24-01-2026,Facebook,Canada,Entertainment,22,Female,Very satisfied with the overall performance,66,239,85,390,4,Positive,
234,25-11-2025,Facebook,Australia,Technology,23,Female,It works fine but has some minor issues,873,64,78,1015,3,Neutral,
235,08-07-2025,Instagram,UK,Education,20,Male,Poor performance and bad customer support,418,136,200,754,1,Negative,
236,06-07-2025,Twitter,Australia,Health,40,Female,"The product is okay, nothing special about it",865,226,145,1236,3,Neutral,
237,17-12-2025,Twitter,Canada,Education,31,Female,Amazing quality and fast delivery,363,267,30,660,5,Positive,
238,31-08-2025,Twitter,India,Entertainment,38,Male,Had a terrible experience using this service,941,268,185,1394,2,Negative,
239,01-03-2026,Twitter,Canada,Education,43,Female,"The product is okay, nothing special about it",725,277,97,1099,3,Neutral,
240,26-12-2025,Instagram,USA,Product,46,Male,Had a terrible experience using this service,498,266,198,962,2,Negative,
241,20-03-2026,Facebook,Australia,Sports,23,Female,"Waste of money, not recommended",282,201,171,654,1,Negative,
242,28-02-2026,Facebook,USA,Education,32,Female,Amazing quality and fast delivery,778,76,53,907,5,Positive,
243,14-08-2025,Facebook,USA,Politics,29,Male,"Absolutely loved the experience, highly recommended",904,135,151,1190,5,Positive,
244,16-12-2025,Instagram,Canada,Product,38,Female,The product did not meet my expectations,741,187,181,1109,2,Negative,
245,19-08-2025,Twitter,India,Health,48,Female,Very satisfied with the overall performance,326,10,142,478,5,Positive,
246,12-07-2025,Facebook,India,Education,23,Female,"Not too good, not too bad",491,245,43,779,3,Neutral,
247,10-11-2025,Twitter,Australia,Technology,37,Female,The product did not meet my expectations,517,51,145,713,2,Negative,
248,07-01-2026,Instagram,USA,Entertainment,26,Female,"Absolutely loved the experience, highly recommended",341,204,130,675,4,Positive,
249,12-04-2025,Instagram,India,Education,21,Female,Amazing quality and fast delivery,279,85,99,463,4,Positive,
250,29-05-2025,Twitter,USA,Health,60,Female,Amazing quality and fast delivery,922,282,169,1373,4,Positive,
251,22-09-2025,Instagram,Canada,Technology,39,Female,It is acceptable for the price,897,10,170,1077,3,Neutral,
252,06-02-2026,Twitter,India,Product,58,Female,I recently bought this and it exceeded my expectations,287,45,33,365,5,Positive,
253,06-02-2026,Twitter,Canada,Entertainment,27,Male,Very satisfied with the overall performance,644,271,41,956,4,Positive,
254,08-09-2025,Instagram,Australia,Politics,33,Female,"Waste of money, not recommended",354,180,54,588,1,Negative,
